species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_std,bill_depth_mm_std,flipper_length_mm_std,body_mass_g_std,kmeans_auto,kmeans_k3,gmm_auto,gmm_k3,agg_auto,agg_k3,dbscan_best
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,-0.8844987420334891,0.7854492273303164,-1.4183466493394512,-0.5641420770995512,0,2,2,2,0,0,0
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,-0.8111257337803929,0.1261878973868395,-1.0622502214477376,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,-0.6643797172742005,0.4304623573607525,-0.4212766512426535,-1.1885323371903167,0,2,2,2,0,0,0
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,-1.3247367915520676,1.0897236873042295,-0.5637152223993389,-0.9387762331540104,0,2,2,2,0,0,0
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,-0.8478122379069417,1.7489850172477064,-0.777373079134367,-0.6890201291177043,0,2,2,2,0,0,0
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,-0.9211852461600378,0.3290375373694488,-1.4183466493394512,-0.7202396421222426,0,2,2,2,0,0,0
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,-0.8661554899702147,1.241860917291186,-0.4212766512426535,0.590979904068365,0,2,2,2,0,0,-1
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,-1.8016613451971948,0.4811747673564053,-0.5637152223993389,-0.9075567201494722,0,2,2,2,0,0,0
Adelie,Torgersen,42.0,20.2,190.0,4250.0,,-0.3525444321985401,1.546135377265097,-0.777373079134367,0.0602481829912142,0,0,2,2,0,0,-1
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,-1.1229610188560537,-0.025949332600115,-1.0622502214477376,-1.12609331118124,0,2,2,2,0,0,0
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,-1.1229610188560537,0.0754754873911886,-1.489565934917794,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,-0.5176337007680069,0.2276127173781451,-1.3471273637611083,-1.2509713631993933,0,2,2,2,0,0,0
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,-0.9762150023498596,2.053259477221617,-0.7061537935560243,-0.5017030510904746,0,2,2,2,0,0,-1
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,-1.7099450848808242,2.0025470672259664,-0.2076187945076255,0.2475652610184439,0,2,2,2,0,0,-1
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,-1.343080043615342,0.3290375373694488,-1.1334695070260803,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,-0.9578717502865852,0.937586457317273,-0.4212766512426535,-0.9387762331540104,0,2,2,2,0,0,0
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,-0.2608281718821695,1.7996974272433572,-0.2788380800859682,0.372443313036597,0,0,2,2,0,0,-1
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE,-1.746631589007373,0.63331199734336,-1.204688792604423,-1.0948737981767018,0,2,2,2,0,0,0
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE,0.3811856503324245,2.205396707208574,-0.4924959368209963,-0.0021908430178622,0,0,2,2,0,0,-1
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,-1.1229610188560537,0.582599587347709,-1.91688164838785,-1.0012152591630872,0,2,2,2,0,0,0
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,-1.1413042709193264,0.7854492273303164,-1.489565934917794,-0.7514591551267809,0,2,2,2,0,0,0
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE,-1.4714828080582614,1.039011277308577,-0.8485923647127097,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,-1.0495880106029558,0.4811747673564053,-1.1334695070260803,-0.314385973063245,0,2,2,2,0,0,0
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,-0.9395284982233122,0.0247630773955358,-1.489565934917794,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE,-1.5815423204379062,0.8868740473216202,-0.9910309358693952,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE,-0.6093499610843774,0.7347368173346656,-1.2759080781827656,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,-0.6276932131476518,0.3797499473650998,-0.9910309358693952,-1.2509713631993933,0,2,2,2,0,0,0
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,-1.104617766792779,0.7347368173346656,-2.059320219544535,-1.31341038920847,0,2,2,2,0,0,-1
Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE,-0.6276932131476518,0.8868740473216202,-1.489565934917794,-0.314385973063245,0,2,2,2,0,0,0
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE,-0.8111257337803929,-0.2287989725827243,-1.6320045060744792,-1.1885323371903167,0,2,2,2,0,0,0
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE,-1.233020531235697,0.4811747673564053,-1.6320045060744792,-0.3768249990723216,0,2,2,2,0,0,0
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE,-0.8111257337803929,0.3290375373694488,-0.9198116502910524,-1.12609331118124,0,2,2,2,0,0,0
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,-0.5543202048945556,0.8868740473216202,-1.204688792604423,-0.3768249990723216,0,2,2,2,0,0,0
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,-1.3797665477418908,-0.0766617425957678,-0.4212766512426535,-1.0948737981767018,0,2,2,2,0,0,0
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,-0.8661554899702147,2.0025470672259664,-0.3500573656643109,-0.0646298690269388,0,2,2,2,0,0,-1
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE,-0.9395284982233122,1.4447105572737933,-0.777373079134367,-0.314385973063245,0,2,2,2,0,0,0
Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE,-0.3158579280719913,0.6840244073390127,-1.489565934917794,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE,-1.1596475229826009,1.0897236873042295,-1.4183466493394512,-1.12609331118124,0,2,2,2,0,0,0
Adelie,Dream,39.8,19.1,184.0,4650.0,MALE,-0.7560959775905711,0.9882988673129256,-1.204688792604423,0.5597603910638267,0,2,2,2,0,0,0
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,-1.3614232956786163,0.4304623573607525,-1.3471273637611083,-1.31341038920847,0,2,2,2,0,0,0
Adelie,Dream,40.8,18.4,195.0,3900.0,MALE,-0.5726634569578299,0.63331199734336,-0.4212766512426535,-0.3768249990723216,0,2,2,2,0,0,0
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,-1.453139555994987,0.6840244073390127,-1.0622502214477376,-1.3758494152175464,0,2,2,2,0,0,0
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,0.0326638611302165,1.292573327286837,-0.3500573656643109,0.2475652610184439,0,0,2,2,0,0,0
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,-1.2697070353622455,-0.1273741525914206,-1.1334695070260803,-1.5007274672356994,0,2,2,2,0,0,0
Adelie,Dream,39.6,18.8,190.0,4600.0,MALE,-0.7927824817171185,0.8361616373259693,-0.777373079134367,0.4973213650547501,0,2,2,2,0,0,0
Adelie,Dream,41.1,19.0,182.0,3425.0,MALE,-0.5176337007680069,0.937586457317273,-1.3471273637611083,-0.9699957461585488,0,2,2,2,0,0,0
Adelie,Dream,37.5,18.9,179.0,2975.0,,-1.1779907750458751,0.8868740473216202,-1.5607852204961363,-1.5319469802402377,0,2,2,2,0,0,0
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE,-1.453139555994987,0.3797499473650998,-0.777373079134367,-0.9387762331540104,0,2,2,2,0,0,0
Adelie,Dream,42.3,21.2,191.0,4150.0,MALE,-0.2975146760087182,2.053259477221617,-0.7061537935560243,-0.0646298690269388,0,0,2,2,0,0,-1
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,-0.7927824817171185,0.278325127373796,-1.0622502214477376,-0.876337207144934,0,2,2,2,0,0,0
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE,-0.7010662214007479,0.8868740473216202,-0.9198116502910524,0.1226872090002908,0,2,2,2,0,0,0
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE,-1.636572076627728,0.3797499473650998,-0.777373079134367,-0.9387762331540104,0,2,2,2,0,0,0
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE,-0.3525444321985401,1.1911485072955332,-0.0651802233509401,-0.1895079210450919,0,0,2,2,0,0,0
Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE,-1.728288336944099,0.4811747673564053,-0.9910309358693952,-1.6256055192538523,0,2,2,2,0,0,0
Adelie,Biscoe,41.4,18.6,191.0,3700.0,MALE,-0.462603944578185,0.7347368173346656,-0.7061537935560243,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE,-0.9028419940967636,0.1769003073824923,-1.0622502214477376,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE,-0.6093499610843774,0.8361616373259693,-0.5637152223993389,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE,-1.3614232956786163,-0.2795113825783752,-1.4183466493394512,-1.6880445452629291,0,2,2,2,0,0,0
Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE,-1.1596475229826009,0.9882988673129256,-0.4924959368209963,-0.5641420770995512,0,2,2,2,0,0,0
Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE,-1.5081693121848088,-0.1273741525914206,-1.1334695070260803,-1.31341038920847,0,2,2,2,0,0,0
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE,-0.4809471966414594,2.0025470672259664,-0.4212766512426535,0.2475652610184439,0,0,2,2,0,0,-1
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,-1.1596475229826009,-0.0766617425957678,-1.1334695070260803,-0.7514591551267809,0,2,2,2,0,0,0
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE,-0.5176337007680069,0.5318871773520563,-0.6349345079776816,-0.1895079210450919,0,2,2,2,0,0,0
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE,-1.3797665477418908,-0.025949332600115,-1.204688792604423,-1.6880445452629291,0,2,2,2,0,0,0
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,-0.4259174404516362,0.4304623573607525,-0.6349345079776816,-0.314385973063245,0,2,2,2,0,0,0
Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE,-1.5448558163113577,-0.4823610225609845,-0.4212766512426535,-1.0636542851721635,0,2,2,2,0,0,0
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE,-0.5176337007680069,0.9882988673129256,-0.9198116502910524,-0.1270688950360153,0,2,2,2,0,0,0
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE,-1.4714828080582614,-0.2795113825783752,-0.777373079134367,-1.438288441226623,0,2,2,2,0,0,0
Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE,-0.3892309363250888,1.1404360972998804,-0.2076187945076255,0.3100042870275205,0,0,2,2,0,0,0
Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE,-1.91172085757684,0.937586457317273,-0.777373079134367,-0.7514591551267809,0,2,2,2,0,0,0
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,-0.7744392296538442,0.63331199734336,-0.777373079134367,-0.3768249990723216,0,2,2,2,0,0,0
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,-0.7927824817171185,0.0247630773955358,-0.3500573656643109,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,0.3444991462058757,0.8868740473216202,-0.2788380800859682,-0.0646298690269388,0,0,0,0,0,0,-1
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,-1.5448558163113577,0.1769003073824923,-0.777373079134367,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,-0.2057984156923476,0.6840244073390127,-0.4212766512426535,0.0602481829912142,0,0,2,2,0,0,0
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,-0.5543202048945556,-0.1780865625870715,-0.7061537935560243,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE,-1.233020531235697,1.1404360972998804,-1.204688792604423,-0.3768249990723216,0,2,2,2,0,0,0
Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE,-1.4164530518684382,-0.5330734325566355,-0.9910309358693952,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE,-0.3342011801352657,0.9882988673129256,-0.4212766512426535,-0.2519469470541685,0,0,2,2,0,0,0
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,-1.7099450848808242,0.0247630773955358,-0.8485923647127097,-1.2509713631993933,0,2,2,2,0,0,0
Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE,-0.1874551636290733,0.2276127173781451,-0.3500573656643109,0.6221994170729033,0,0,2,2,0,0,-1
Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE,-1.3247367915520676,0.8361616373259693,-0.9910309358693952,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE,-1.6182288245644536,1.1404360972998804,-0.5637152223993389,-0.0021908430178622,0,2,2,2,0,0,0
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE,-1.214677279172424,0.3290375373694488,-0.7061537935560243,-1.0636542851721635,0,2,2,2,0,0,0
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,-0.4809471966414594,1.5968477872607498,-0.4924959368209963,-0.8138981811358574,0,2,2,2,0,0,-1
Adelie,Dream,36.3,19.5,190.0,3800.0,MALE,-1.398109799805165,1.1911485072955332,-0.777373079134367,-0.5017030510904746,0,2,2,2,0,0,0
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,-1.2880502874255202,0.7347368173346656,-0.8485923647127097,-0.876337207144934,0,2,2,2,0,0,0
Adelie,Dream,38.3,19.2,189.0,3950.0,MALE,-1.031244758539683,1.039011277308577,-0.8485923647127097,-0.314385973063245,0,2,2,2,0,0,0
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,-0.9211852461600378,0.8361616373259693,-0.777373079134367,-0.7514591551267809,0,2,2,2,0,0,0
Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE,-1.5081693121848088,0.4304623573607525,0.0772583478057451,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,-0.5176337007680069,0.4811747673564053,0.2909162045407732,0.1226872090002908,0,0,2,2,0,0,0
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,-1.8200045972604693,-0.025949332600115,-1.1334695070260803,-1.0012152591630872,0,2,2,2,0,0,0
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE,-0.7927824817171185,0.4811747673564053,-1.0622502214477376,0.3100042870275205,0,2,2,2,0,0,0
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE,-1.4164530518684382,0.0754754873911886,-0.9910309358693952,-1.12609331118124,0,2,2,2,0,0,0
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE,-0.5726634569578299,0.8868740473216202,0.5045740612758013,0.1226872090002908,0,0,2,2,0,0,-1
Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE,-1.0679312626662305,0.7347368173346656,-0.777373079134367,-0.6265811031086278,0,2,2,2,0,0,0
Adelie,Dream,40.3,18.5,196.0,4350.0,MALE,-0.6643797172742005,0.6840244073390127,-0.3500573656643109,0.1851262350093674,0,2,2,2,0,0,0
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,-1.985093865829936,-0.5330734325566355,-1.6320045060744792,-1.6256055192538523,0,2,2,2,0,0,-1
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,-0.1324254074392502,0.6840244073390127,-0.6349345079776816,-0.1270688950360153,0,0,2,2,0,0,0
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE,-1.636572076627728,0.3797499473650998,-0.6349345079776816,-0.5953615901040895,0,2,2,2,0,0,0
Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE,-0.5359769528312812,1.4447105572737933,0.1484776333840878,0.6534189300774416,0,0,2,2,0,0,0
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,-1.1413042709193264,-0.5837858425522883,-1.2759080781827656,-1.4070689282220847,0,2,2,2,0,0,0
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,-1.1229610188560537,1.4447105572737933,-0.777373079134367,0.0602481829912142,0,2,2,2,0,0,0
Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE,-1.104617766792779,0.7347368173346656,-0.5637152223993389,-1.5943860062493145,0,2,2,2,0,0,-1
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE,-0.7744392296538442,0.8868740473216202,-1.204688792604423,-0.8138981811358574,0,2,2,2,0,0,0
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE,-0.9762150023498596,0.0247630773955358,-0.1363995089292828,-0.5641420770995512,0,2,2,2,0,0,0
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE,-1.0495880106029558,1.4447105572737933,-0.777373079134367,-0.3768249990723216,0,2,2,2,0,0,0
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE,-1.0679312626662305,-0.0766617425957678,-1.4183466493394512,-1.2821908762039316,0,2,2,2,0,0,0
Adelie,Biscoe,43.2,19.0,197.0,4775.0,MALE,-0.1324254074392502,0.937586457317273,-0.2788380800859682,0.715857956086518,0,0,2,2,0,0,0
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,-1.0679312626662305,-0.330223792574028,-0.2076187945076255,-0.4704835380859364,0,2,2,2,0,0,0
Adelie,Biscoe,45.6,20.3,191.0,4600.0,MALE,0.3078126420793283,1.5968477872607498,-0.7061537935560243,0.4973213650547501,0,0,2,2,0,0,-1
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE,-0.7744392296538442,0.278325127373796,-0.5637152223993389,-1.2509713631993933,0,2,2,2,0,0,0
